"Data Year","ID","Property Name","Address","ZIP Code","Community Area","Primary Property Type","Gross Floor Area - Buildings (sq ft)","Year Built","# of Buildings","ENERGY STAR Score","Electricity Use (kBtu)","Natural Gas Use (kBtu)","District Steam Use (kBtu)","District Chilled Water Use (kBtu)","All Other Fuel Use (kBtu)","Site EUI (kBtu/sq ft)","Source EUI (kBtu/sq ft)","Weather Normalized Site EUI (kBtu/sq ft)","Weather Normalized Source EUI (kBtu/sq ft)","Total GHG Emissions (Metric Tons CO2e)","GHG Intensity (kg CO2e/sq ft)","Latitude","Longitude","Location"
"2016","106042","LaSalle Towers Condominium Association","1211 N. LaSalle St.","60610","NEAR NORTH SIDE","Multifamily Housing","57,041","1924","1","5","3,032,633.7","1,087,970.4",,,,"72.2","187","75","194.3","616.8","10.8","41.9037528","-87.63558845","POINT (-87.63558845 41.9037528)"
"2016","244099","Trump","401 N. Wabash","60611","NEAR NORTH SIDE","Multifamily Housing","2,125,888","2008","1",,"121,828,769.6","26,851,959.7",,,,"69.9","193.2",,,"23,881.9","11.2","41.88888345","-87.62643917","POINT (-87.62643917 41.88888345)"
"2016","134982","616 Fulton Lofts Condominium Association","616 W. Fulton St.","60661","NEAR WEST SIDE","Multifamily Housing","204,687","1997","1","97","3,805,929","5,118,303.2",,,,"43.6","84.6","45.3","84.8","973.4","4.8","41.88321395","-87.64336601","POINT (-87.64336601 41.88321395)"
"2016","176010","420 N Wabash Ave","420 N. Wabash Ave.","60611","NEAR NORTH SIDE","Office","102,450","1906","1","17","9,760,142","5,492,500.1",,,,"148.9","355.4","148.9","355.4","2,090.7","20.4","41.8896962","-87.62666374","POINT (-87.62666374 41.8896962)"
"2016","175400","740 N. Milwaukee, LLC","740 N. Milwaukee Ave.","60642","WEST TOWN","Multifamily Housing","82,600","2003","1","96","1,612,265.5","1,427,986.8",,,,"36.8","79.4","37.6","79.8","373","4.5","41.8999205","-87.65738734","POINT (-87.65738734 41.8999205)"
"2016","260088","231-Senior Suites-Garfield Ridge","5839 S. Harlem Avenue","60638","GARFIELD RIDGE","Senior Care Community","60,000","2000","1","45","1,970,102.4","3,840,500.1",,,,"96.8","170.3","103","175.2","567.1","9.5","41.78388279","-87.7815589","POINT (-87.7815589 41.78388279)"
"2016","251951","Goldblatt Hospital","5840 S. Ellis Ave.","60637","HYDE PARK","Laboratory","79,347","1950","1",,"5,762,011.6",,"20,978,579.9",,,"337","546.1","350","561.7","2,455","30.9","41.78964","-87.601268","POINT (-87.601268 41.78964)"
"2016","250078","Henry Horner","1815 W. MONROE STREET","60612","NEAR WEST SIDE","Multifamily Housing","483,032","1969","3","100","3,144,834.3","5,352,370.2",,,,"17.6","32.1","17.9","31.8","863.9","1.8","41.88005275","-87.67231085","POINT (-87.67231085 41.88005275)"
"2016","159745","Clarendon Court Apartments","4500 N Clarendon Ave","60640","UPTOWN","Multifamily Housing","105,850","1980","1","20","3,066,743.1","10,241,892.3",,,,"125.7","192.6","135.2","200.4","1,109.3","10.5","41.96394063","-87.65039391","POINT (-87.65039391 41.96394063)"
"2016","101816","5041 - North Bridge Block 119 and 120","43 E Ohio St","60611","NEAR NORTH SIDE","Enclosed Mall","450,811","1980","1",,"12,263,028.3","71,397,664.5",,"28,070,551.9",,"247.8","314","257.6","324.3","7,531.9","16.7","41.89210858","-87.6262422","POINT (-87.6262422 41.89210858)"
