"Building ID","Address","Zip","Cohort - Sector","Cohort - Size","Verification Year","Community Area Name","Community Area Number","Ward","Latitude","Longitude","Location"
"173760","559 561 W Surf St","60657","Residential","> 50,000 Sq Ft","2025","Lake View","6","44","41.93985","-87.65845","(41.93985, -87.65845)"
"172387","1132 W Blackhawk St","60642","Commercial","> 250,000 Sq Ft","2025","Near North Side","8","27","41.90716","-87.65672","(41.90716, -87.65672)"
"113670","219 227 E Lake Shore Dr","60611","Residential","> 50,000 Sq Ft","2025","Near North Side","8","2","41.89579","-87.62248","(41.89579, -87.62248)"
"102610","420  432 W Ontario St","60654","Residential","> 50,000 Sq Ft","2025","Near North Side","8","42","41.89198","-87.637","(41.89198, -87.637)"
"114200","1515  N Astor St","60610","Residential","> 50,000 Sq Ft","2025","Near North Side","8","43","41.90375","-87.63559","(41.90375, -87.63559)"
"120343","5101 5115 N Sheridan Rd","60640","Residential","> 50,000 Sq Ft","2027","Uptown","3","48","41.97559","-87.65457","(41.97559, -87.65457)"
"162258","541 W Hawthorne Pl","60657","Commercial","> 50,000 Sq Ft","2025","Lake View","6","44","41.94405","-87.64298","(41.94405, -87.64298)"
"252216","5801 N Sheridan Rd","60660","Residential","> 50,000 Sq Ft","2025","Edgewater","77","48","41.9876","-87.65521","(41.9876, -87.65521)"
"250137","75 E Wacker Dr","60601","Residential","> 50,000 Sq Ft","2027","Loop","32","42","41.88778","-87.62566","(41.88778, -87.62566)"
"101537","4532 4542 S Drexel Blvd","60653","Residential","> 50,000 Sq Ft","2025","Kenwood","39","4","41.82021","-87.61247","(41.82021, -87.61247)"
"103271","1344  N Dearborn St","60610","Residential","> 50,000 Sq Ft","2025","Near North Side","8","2","41.90375","-87.63559","(41.90375, -87.63559)"
"256556","727 W Madison St","60661","Residential","> 250,000 Sq F","2025","Near West Side","28","27","41.88316","-87.64374","(41.88316, -87.64374)"
"242655","10 E Delaware Pl","60611","Residential","> 250,000 Sq F","2027","Near North Side","8","42","41.89939","-87.6279","(41.89939, -87.6279)"
"100668","3245 W Arthington St","60624","Commercial","> 250,000 Sq Ft","2025","East Garfield Park","27","24","41.87049","-87.70744","(41.87049, -87.70744)"
"160151","515 N Clark St","60654","Residential","> 250,000 Sq F","2027","Near North Side","8","42","41.89137","-87.63107","(41.89137, -87.63107)"
"159646","337 339 W Barry Ave","60657","Residential","> 50,000 Sq Ft","2025","Lake View","6","44","41.93735","-87.63846","(41.93735, -87.63846)"
"251899","4250 S Rockwell St","60632","Municipal","> 50,000 Sq Ft","2025","Brighton Park","58","15","41.81616","-87.69017","(41.81616, -87.69017)"
"251767","1311 N Halsted","60642","Residential","> 50,000 Sq Ft","2025","Near North Side","8","27","41.90532","-87.64808","(41.90532, -87.64808)"
"252249","4623 W Galdys Ave","60644","Residential","> 50,000 Sq Ft","2025","Austin","25","24","41.87596","-87.74103","(41.87596, -87.74103)"
"101492","4300 N Narragansett","60634","Commercial","> 250,000 Sq Ft","2025","Dunning","17","38","41.95813","-87.78958","(41.95813, -87.78958)"
"164777","840 W Irving Park Rd","60613","Commercial","> 50,000 Sq Ft","2027","Uptown","3","46","41.95455","-87.65138","(41.95455, -87.65138)"
"254094","3041 S Michigan Ave","60616","Residential","> 50,000 Sq Ft","2025","Douglas","35","3","41.84586","-87.62921","(41.84586, -87.62921)"
"103598","222 N Lasalle St","60601","Commercial","> 250,000 Sq Ft","2026","Loop","32","42","41.88652","-87.63324","(41.88652, -87.63324)"
"106042","1211 1217 N Lasalle Dr","60610","Residential","> 50,000 Sq Ft","2025","Near North Side","8","2","41.90375","-87.63559","(41.90375, -87.63559)"
"253996","2100 N Lincoln Park West","60614","Residential","> 50,000 Sq Ft","2025","Lincoln Park","7","43","41.92174","-87.65392","(41.92174, -87.65392)"
"119629","2746 N Clybourn Ave","60614","Commercial","> 50,000 Sq Ft","2025","Lincoln Park","7","32","41.93131","-87.67737","(41.93131, -87.67737)"
"250145","180 N Wabash Ave","60601","Commercial","> 50,000 Sq Ft","2025","Loop","32","42","41.88542","-87.62667","(41.88542, -87.62667)"
"251518","2230 W Mclean Ave","60647","Municipal","> 50,000 Sq Ft","2025","Logan Square","22","32","41.91879","-87.68378","(41.91879, -87.68378)"
"251656","243 N Parkside Ave","60644","Municipal","> 50,000 Sq Ft","2027","Austin","25","29","41.88487","-87.76661","(41.88487, -87.76661)"
"251900","4201 W Henderson St","60641","Municipal","> 50,000 Sq Ft","2025","Irving Park","16","30","41.94127","-87.73388","(41.94127, -87.73388)"
"101657","1329 1337 W Touhy Ave","60626","Residential","> 50,000 Sq Ft","2025","Rogers Park","1","49","42.01036","-87.6683","(42.01036, -87.6683)"
"251759","5900 N Winthrop Ave","60660","Municipal","> 50,000 Sq Ft","2025","Edgewater","77","48","41.9892","-87.65862","(41.9892, -87.65862)"
"250091","4030 S Lake Park Ave","60653","Residential","> 50,000 Sq Ft","2027","Oakland","36","4","41.82184","-87.60246","(41.82184, -87.60246)"
"103767","11 S Lasalle St","60603","Residential","> 250,000 Sq F","2027","Loop","32","42","41.88177","-87.63194","(41.88177, -87.63194)"
"251737","2022 W Washington Blvd","60612","Municipal","> 50,000 Sq Ft","2025","Near West Side","28","27","41.88336","-87.67765","(41.88336, -87.67765)"
"244747","201 N Westshore Dr","60601","Residential","> 250,000 Sq F","2027","Loop","32","42","41.88627","-87.616","(41.88627, -87.616)"
"102987","4048  S Lake Park Ave","60653","Residential","> 50,000 Sq Ft","2025","Oakland","36","4","41.82021","-87.61247","(41.82021, -87.61247)"
"102365","4015 N Ashland Ave","60613","Municipal","> 250,000 Sq Ft","2025","Lake View","6","47","41.95525","-87.6686","(41.95525, -87.6686)"
"257194","3000-3048 S. Halsted Street","60608","Commercial","> 50,000 Sq Ft","2025","Bridgeport","60","11","41.88323","-87.6324","(41.88323, -87.6324)"
"255150","4756-4770  South Kedzie Avenue","60632","Commercial","> 50,000 Sq Ft","2025","Brighton Park","58","14","41.8145","-87.70299","(41.8145, -87.70299)"
"114874","4900 4918 S Drexel Blvd","60615","Residential","> 50,000 Sq Ft","2025","Kenwood","39","4","41.80224","-87.60333","(41.80224, -87.60333)"
"101032","5110  S Dr Martin Luther King Jr Dr","60615","Residential","> 50,000 Sq Ft","2025","Washington Heights","73","3","41.80224","-87.60333","(41.80224, -87.60333)"
"113632","1130 N Lake Shore Dr","60611","Residential","> 50,000 Sq Ft","2025","Near North Side","8","2","41.89579","-87.62247","(41.89579, -87.62247)"
"229057","2740 N Pine Grove Ave","60614","Residential","> 50,000 Sq Ft","2025","Lincoln Park","7","43","41.93214","-87.64142","(41.93214, -87.64142)"
