"OSEBuildingID","DataYear","BuildingName","BuildingType","TaxParcelIdentificationNumber","Address","City","State","ZipCode","Latitude","Longitude","Neighborhood","CouncilDistrictCode","YearBuilt","NumberofFloors","NumberofBuildings","PropertyGFATotal","PropertyGFABuildings","PropertyGFAParking","SelfReportGFATotal","SelfReportGFABuildings","SelfReportParking","ENERGYSTARScore","SiteEUIWN(kBtu/sf)","SiteEUI(kBtu/sf)","SiteEnergyUse(kBtu)","SiteEnergyUseWN(kBtu)","SourceEUIWN(kBtu/sf)","SourceEUI(kBtu/sf)","EPAPropertyType","LargestPropertyUseType","LargestPropertyUseTypeGFA","SecondLargestPropertyUseType","SecondLargestPropertyUseTypeGFA","ThirdLargestPropertyUseType","ThirdLargestPropertyUseTypeGFA","Electricity(kWh)","SteamUse(kBtu)","NaturalGas(therms)","ComplianceStatus","ComplianceIssue","Electricity(kBtu)","NaturalGas(kBtu)","TotalGHGEmissions","GHGEmissionsIntensity","Demolished"
"28","2024","GRAHAM HILL ELEMENTARY SCHOOL (SPS-DISTRICT)","SPS-District K-12","1102000138","5101 S GRAHAM ST","SEATTLE","WA","98118","47.54576","-122.26853","SOUTHEAST","2","1961","2","1","56,228","56,228","0","55,715","55,715","0","89","29.29999924","29.20000076","1,625,718","1,631,655","57.40000153","57.09999847","K-12 School","K-12 School","55,715","NA",,"NA",,"247,153",,"7,824","Compliant","No Issue","843,286","782,430","46.4","0.82","false"
"29","2024","WATERTOWN HOTEL","NonResidential","1142000755","4242 ROOSEVELT WAY NE","SEATTLE","WA","98105","47.65958","-122.31738","NORTHEAST","4","2001","6","1","88,592","58,006","30,586","98,356","67,770","30,586","96","56.70000076","53.29999924","3,610,078","3,841,479","117.9000015","108.3000031","Hotel","Hotel","67,770","Parking","30,586","NA",,"594,421",,"15,819","Compliant","No Issue","2,028,166","1,581,910","95.6","1.65","false"
"30","2024","CORNISH (Main Campus Center)","NonResidential","660001420","1000 LENORA ST","SEATTLE","WA","98121","47.61816","-122.33629","DOWNTOWN","7","1928","7","1","126,593","126,593","0","126,593","126,593","0",,"70.30000305","69.5","8,797,906","8,898,451","129.8999939","129.3000031","College/University","College/University","126,593","NA",,"NA",,"1,193,294",,"47,264","Compliant","No Issue","4,071,519","4,726,390","274.1","2.17","false"
"33","2024","SPRINGHILL SUITES SEATTLE DOWNTOWN","NonResidential","660002680","1800 YALE AVE","SEATTLE","WA","98101","47.61784","-122.32966","DOWNTOWN","7","2001","10","1","171,866","133,585","38,281","171,866","133,585","38,281","91","62","62.09999847","8,302,082","8,282,414","120.5","120.9000015","Hotel","Hotel","133,585","Parking","38,281","NA",,"1,244,180",,"40,569","Compliant","No Issue","4,245,142","4,056,940","239.6","1.79","false"
"34","2024","MEANY MIDDLE SCHOOL (SPS-DISTRICT)","SPS-District K-12","688000090","300 20TH AVE E","SEATTLE","WA","98112","47.62266","-122.30547","CENTRAL","3","1955","1","1","126,351","126,351","0","119,254","119,254","0","62","41.20000076","40.09999847","4,785,164","4,909,475","65","63.70000076","K-12 School","K-12 School","119,254","NA",,"NA",,"430,094",,"33,177","Compliant","No Issue","1,467,482","3,317,680","184.3","1.46","false"
"35","2024","HOTEL FIVE","NonResidential","697000170","2200 5TH AVE","SEATTLE","WA","98121","47.61558","-122.34186","DOWNTOWN","7","1978","5","1","68,410","52,210","16,200","72,610","52,210","20,400","85","65.19999695","64.90000153","3,390,906","3,404,466","132.6999969","132","Hotel","Hotel","52,210","Parking","15,400","NA",,"557,845",,"14,875","Compliant","No Issue","1,903,368","1,487,540","89.9","1.72","false"
"36","2024","JANE ADDAMS MIDDLE (SPS-DISTRICT)","SPS-District K-12","752000170","11031 34TH AVE NE","SEATTLE","WA","98125","47.70994","-122.29301","NORTH","5","1949","2","1","160,645","160,645","0","168,709","168,709","0","71","40.5","41.59999847","7,020,056","6,838,632","61","62.90000153","K-12 School","K-12 School","168,709","NA",,"NA",,"541,506",,"51,724","Compliant","No Issue","1,847,617","5,172,440","284.9","1.77","false"
"37","2024","JOHN HAY ELEMENTARY SCHOOL (SPS-DISTRICT)","SPS-District K-12","809000005","201 GARFIELD ST","SEATTLE","WA","98109","47.6329","-122.35172","MAGNOLIA / QUEEN ANNE","7","1989","2","1","51,582","51,582","0","54,946","54,946","0","76","23.20000076","25","1,373,992","1,274,781","65","70","K-12 School","K-12 School","54,946","NA",,"NA",,"402,694",,,"Compliant","No Issue","1,373,992",,"8","0.15","false"
"38","2024","GOOD SHEPHERD CENTER","NonResidential","825049102","4649 SUNNYSIDE AVE N","SEATTLE","WA","98103","47.6641","-122.33118","LAKE UNION","4","1906","3","1","87,262","87,262","0","78,405","78,405","0",,"53","52.90000153","4,146,749","4,153,202","76.69999695","76.59999847","Office","Office","43,615","K-12 School","23,177","Other - Entertainment/Public Assembly","5,919","277,119",,"32,012","Compliant","No Issue","945,529","3,201,220","175.1","2.01","false"
"40","2024","SILVER CLOUD INN UNIVERSITY","NonResidential","925049117","5036 25TH AVE NE","SEATTLE","WA","98105","47.66583","-122.29965","NORTHEAST","4","1994","4","1","81,871","81,871","0","83,361","83,361","0","86","66.5","63.79999924","5,320,308","5,543,638","132.5","123.6999969","Hotel","Hotel","83,361","NA",,"NA",,"791,646",,"26,192","Compliant","No Issue","2,701,094","2,619,210","154.5","1.89","false"
"41","2024","2746 NE 45TH ST - PUBLIC STORAGE","NonResidential","925049330","2746 NE 45TH ST","SEATTLE","WA","98105","47.66172","-122.29598","NORTHEAST","4","1955","2","1","26,225","26,225","0","45,574","45,574","0",,"4.800000191","4.699999809","216,227","217,408","11.30000019","11.30000019","Self-Storage Facility","Self-Storage Facility","45,574","NA",,"NA",,"48,103",,"521","Compliant","No Issue","164,127","52,100","3.7","0.14","false"
"43","2024","BOEING PLANT 2 ISAL  (BLDG 2-122)-North Boeing Field Campus","Campus","22000005","1135 S WEBSTER ST","SEATTLE","WA","98108","47.53493","-122.31788","GREATER DUWAMISH","1","1992","3","1","2,026,324","2,026,324","0","1,814,444","1,814,444","0",,"252.8000031","249.5","475,197,440","481,568,640","387.7000122","384.2000122","Mixed Use Property","Office","686,344","Laboratory","578,006","Non-Refrigerated Warehouse","478,585","38,985,360",,"3,421,794","Compliant","No Issue","133,018,048","342,179,400","18,907","9.33","false"
"50","2024","LAWTON ELEMENTARY SCHOOL (SPS-DISTRICT)","SPS-District K-12","369000400","4017 26TH AVE W","SEATTLE","WA","98199","47.65671","-122.39047","MAGNOLIA / QUEEN ANNE","6","1990","2","1","54,986","54,986","0","52,669","52,669","0","72","32.20000076","32.59999847","1,715,797","1,695,746","69.69999695","71.09999847","K-12 School","K-12 School","52,669","NA",,"NA",,"325,110",,"6,065","Compliant","No Issue","1,109,276","606,520","38.6","0.7","false"
"51","2024","ECKSTEIN MIDDLE (SPS-DISTRICT)","SPS-District K-12","425049022","3003 NE 75TH ST","SEATTLE","WA","98115","47.68252","-122.29498","NORTHEAST","4","1950","2","1","175,565","175,565","0","179,513","179,513","0","91","37.79999924","37.79999924","6,779,131","6,788,612","52.59999847","53.09999847","K-12 School","K-12 School","179,513","NA",,"NA",,"403,114",,"54,037","Compliant","No Issue","1,375,427","5,403,700","294.4","1.68","false"
"53","2024","EL CENTRO DE LA RAZA","NonResidential","570000340","2524 16TH AVE S","SEATTLE","WA","98144","47.58034","-122.31132","GREATER DUWAMISH","2","1900","2","1","52,554","52,554","0","52,544","52,544","0","78","48.5","47.09999847","2,477,294","2,546,638","76.69999695","75.19999695","Office","Office","44,695","Other - Education","7,849","NA",,"226,164",,"17,056","Compliant","No Issue","771,673","1,705,620","94.9","1.81","false"
"54","2024","BLANCHET HIGH SCHOOL","NonResidential","625049002","8200 WALLINGFORD AVE N","SEATTLE","WA","98103","47.68891","-122.33553","NORTHWEST","6","1954","3","1","175,015","175,015","0","206,621","176,621","30,000","70","49.79999924","49.20000076","8,684,954","8,795,143","79.80000305","79.90000153","K-12 School","K-12 School","176,621","Parking",,"NA",,"834,951",,"58,361","Compliant","No Issue","2,848,852","5,836,100","325.8","1.86","false"
"55","2024","VINE ST MINI STORAGE","NonResidential","653000225","11 VINE ST","SEATTLE","WA","98121","47.61351","-122.35129","DOWNTOWN","7","1911","3","1","70,586","70,586","0","70,495","70,495","0",,"18.20000076","18","1,265,440","1,280,333","47.29999924","47","Self-Storage Facility","Self-Storage Facility","42,298","Vocational School","28,197","NA",,"331,986",,"1,327","Compliant","No Issue","1,132,736","132,700","13.6","0.19","false"
"56","2024","Coast Seattle Downtown Hotel by APA","NonResidential","7802920010","1301 6TH AVE","SEATTLE","WA","98101","47.60919","-122.33313","DOWNTOWN","7","1969","24","1","126,240","126,240","0","332,210","332,210","0","89","37.29999924","36.90000153","12,269,666","12,394,230","82.19999695","81.40000153","Hotel","Hotel","332,210","NA",,"NA",,"2,372,165",,"41,758","Compliant","No Issue","8,093,827","4,175,840","268.3","2.13","false"
"57","2024","5TH & PINE","NonResidential","1975700200","1513 5TH AVE","SEATTLE","WA","98101","47.6113","-122.33659","DOWNTOWN","7","1973","5","1","88,717","88,717","0","169,531","169,531","0","78","30.20000076","30.20000076","5,126,680","5,114,008","84.5","84.69999695","Office","Office","103,855","Retail Store","65,676","NA",,"1,502,544",,,"Compliant","No Issue","5,126,680",,"29.7","0.34","false"
"58","2024","CENTURY SQUARE RETAIL","NonResidential","1975700365","1525 4TH AVE","SEATTLE","WA","98101","47.61076","-122.33765","DOWNTOWN","7","1920","2","1","57,428","57,428","0","57,428","57,428","0",,"16.79999924","16.5","945,387","965,041","47.09999847","46.09999847","Other - Mall","Other - Mall","57,428","Personal Services (Health/Beauty, Dry Cleaning, etc)",,"Retail Store",,"277,077",,,"Compliant","No Issue","945,387",,"5.5","0.1","false"
"59","2024","GIBRALTAR TOWER","NonResidential","1975700380","1518 3RD AVE","SEATTLE","WA","98101","47.61048","-122.33794","DOWNTOWN","7","1910","8","1","59,400","59,400","0","54,985","54,985","0",,"26.5","25.79999924","1,419,809","1,459,170","74.30000305","72.30000305","Office","Office","48,366","Retail Store","6,619","NA",,"416,122",,,"Compliant","No Issue","1,419,809",,"8.2","0.14","false"
"60","2024","MANN BUILDING/WILD GINGER/TRIPLE DOOR","NonResidential","1975700525","1401 3RD AVE","SEATTLE","WA","98101","47.60886","-122.33744","DOWNTOWN","7","1926","2","1","64,597","64,597","0","64,597","64,597","0",,"165.3999939","163.6999969","10,571,392","10,685,936","270.2999878","268.3999939","Mixed Use Property","Restaurant","21,292","Performing Arts","15,904","Office","14,011","1,045,154",,"70,053","Compliant","No Issue","3,566,065","7,005,330","392","6.07","false"
"61","2024","PALIHOTEL","NonResidential","1975700600","107 PINE ST","SEATTLE","WA","98101","47.60973","-122.34038","DOWNTOWN","7","1900","4","1","50,510","50,510","0","50,000","50,000","0","62","96.80000305","96.09999847","4,806,724","4,841,650","176","175.3999939","Hotel","Hotel","50,000","NA",,"NA",,"623,256",,"26,802","Compliant","No Issue","2,126,548","2,680,180","154.4","3.06","false"
