Compliance Status,Data Year,Evanston Building ID,Property Name,Address 1,Postal Code,Primary Property Type - Self Selected,Property GFA - Self-Reported (ft²),Property Type,Year Built,Number of Buildings,ENERGY STAR Score,ENERGY STAR Certification - Year(s) Certified,Site Energy Use (kBtu),Source Energy Use (kBtu),Site EUI (kBtu/ft²),Source EUI (kBtu/ft²),Weather Normalized Site Energy Use (kBtu),Weather Normalized Source Energy Use (kBtu),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Source EUI (kBtu/ft²),Electricity Use - Grid Purchase and Generated from Onsite Renewable Systems (kWh),Electricity Use - Grid Purchase (kWh),Natural Gas Use (therms),District Steam Use (kBtu),Weather Normalized Site Electricity (kWh),Weather Normalized Site Natural Gas Use (therms),Green Power - Onsite (kWh),Green Power - Offsite (kWh),Electricity Use – Generated from Onsite Renewable Systems and Used Onsite (kWh),Water Score (Multifamily Only),Water Use (All Water Sources) (kgal),Water Use Intensity (All Water Sources) (gal/ft²),Total GHG Emissions (Kg CO2e),GHG Intensity (kg CO2e/sq ft),GHG Emissions Notes,ObjectId
Compliant,2019,105937,908-922 Main St.,840 Elmwood Avenue/908-922 Main Street,60202,Multifamily Housing,36477,Type 3,1913,1,53,Not Available,3456410,3738357,94.8,102.5,3362189,3639218,92.2,99.8,18276,18276,33941,Not Available,18241,"33,000",Not Available,0,Not Available,100,226,6.19,190341,5.2,,248
Compliant,2019,106001,1600 Hinman LLC,1600-08 Hinman Ave.,60201,Multifamily Housing,148845,Type 1,1922,1,94,Not Available,8159890,10091067,54.8,67.8,7866622,9746245,52.9,65.5,255097,255097,72895,Not Available,248918,"70,173",Not Available,0,Not Available,98,1205,8.1,527699,3.5,,249
Compliant,2019,106084,Main Library,1703 Orrington Ave.,60201,Library,114972,Type 1,1994,1,Not Available,Not Available,8685705,17242263,75.5,150,8592234,17126475,74.7,149,1360287,1360287,40444,Not Available,1357332,"39,610",Not Available,0,Not Available,Not Available,1494,13,964137,8.4,,250
Compliant,2019,106102,8721,711 Elgin Rd,60208,College/University,60763,Type 2,1873,1,Not Available,Not Available,2781581,3097596,45.8,51,2769495,3084905,45.6,50.8,29633,29633,26805,Not Available,29633,"26,684",Not Available,0,Not Available,Not Available,341,5.61,158695,2.6,,251
Compliant,2019,106184,8570,726 University Pl,60201,Residence Hall/Dormitory,31127,Type 3,1901,1,94,Not Available,2266683,2642960,72.8,84.9,2222929,2596508,71.4,83.4,44037,44037,21164,Not Available,43951,"20,730",Not Available,0,Not Available,Not Available,457,14.68,136671,4.4,,252
Compliant,2019,106185,First United Methodist Church of Evanston,516 Church Street,60201,Worship Facility,72176,Type 2,1872,1,30,Not Available,6206705,7555484,86,104.7,6091825,7432616,84.4,103,173915,173914,56133,Not Available,173539,"54,997",Not Available,0,Not Available,Not Available,1380,19.12,393950,5.5,,253
Compliant,2019,106333,Dempster Oak I,1025-1033 Dempster/1305-11 Oak,60201,Multifamily Housing,56084,Type 2,1922,1,82,Not Available,2513558,4558387,44.8,81.3,,,,,321412,321412,14169,Not Available,310213,Not Available,Not Available,0,Not Available,7,3082,54.96,252309,4.5,,254
Compliant,2019,106351,Hinman Gardens Condominium Association,648-700 Hinman Ave,60201,Multifamily Housing,59580,Type 2,1920,1,72,Not Available,4229657,5253656,71,88.2,4190455,5191349,70.3,87.1,136077,136077,37654,Not Available,132536,"37,382",Not Available,0,Not Available,76,1096,18.39,274954,4.6,,255
Compliant,2019,106416,1500 Oak Condo Association,1500 Oak Avenue,60201,Multifamily Housing,80000,Type 2,1969,1,100,Not Available,2205582,5856957,27.6,73.2,2153326,5717731,26.9,71.5,593049,593049,1821,Not Available,578921,"1,781",Not Available,0,Not Available,95,1682,21.02,336356,4.2,,256
Compliant,2019,106434,8720,2233 Tech Dr,60208,Library,180332,Type 1,1977,1,Not Available,Not Available,7314473,11130902,40.6,61.7,7314473,11130902,40.6,61.7,577911,577911,53426,Not Available,577911,"53,426",Not Available,0,Not Available,Not Available,775,4.3,602117,3.3,,257
